Player;Player No.;Matches Played;Number of match wins;Matches Win Ratio%;Games Played;Number of game wins;Games Win Ratio%;Total Kills;Average Kills per game;Highest kill in a single game;Total Deaths;Average Deaths;Highest death in a single game;Total Assists;Average Assists;Highest assists in a single game;KDA Ratio;Kill Participation%;Total Gold;Average Gold;Gold Per Minute;Gold Share%;Exp Per Minute;Total Damage;Average Damage;Damage Per Minute;Damage Share%;Damage/Gold%;Total Building Damage;Average Building Damage;Building Damage Share%;Damage Taken;Average Damage Taken;Damage Taken Per Minute;Damage Taken Share%;DMG taken/Gold%;Total control time/s;Control time per game/s;Total heal;Heal per game;Heroes Used;Lengendary;Savage;Maniac;Triple Kill;Double Kill;First Blood;Towers Secured;Cryoturtle Secured;Lord Secured;Average Game Time/s
Kiboy;ID-P0244;20;14;70;60;37;61.67;65;1.08;5;212;3.53;8;471;7.85;17;2.53;65.86;439759;7329.32;458.45;15.06;828.92;1114063;18567.72;1151.18;10.16;248.02;28350;472.5;1.98;5458183;90969.72;5461.11;29.59;1206.15;1039.3;17.32;1368569;22809.48;12;0;0;0;0;3;6;1;1;0;957.73
CW;ID-P0090;4;1;25;11;4;36.36;44;4;12;25;2.27;4;40;3.64;7;3.36;60.65;144676;13152.36;735.27;25.01;1151.36;656946;59722.36;3288.73;25.71;448.09;106318;9665.27;52.49;596484;54225.82;3021.59;13.38;415.33;5.72;0.52;314658;28605.27;5;0;0;0;2;6;0;16;0;1;1063.45
Kairi;PH-P142;19;14;73.68;57;36;63.16;247;4.33;12;76;1.33;4;280;4.91;19;6.93;66.53;655638;11502.42;724.32;23.75;1441.44;1995652;35011.44;2145.75;18.84;290.68;202308;3549.26;21.8;2458213;43126.54;2635.99;14.7;380.18;175.67;3.08;1639771;28767.91;14;12;0;2;6;33;16;33;70;57;952.91
S A N Z;ID-P0118;20;14;70;60;37;61.67;155;2.58;11;95;1.58;7;475;7.92;17;6.63;79.83;570737;9512.28;596.75;19.55;1032.25;3238901;53981.68;3305.63;28.95;549.45;110751;1845.85;11.7;2075840;34597.33;2111.86;11.5;364.61;771.73;12.86;886470;14774.5;13;0;0;0;3;12;9;10;4;2;957.73
Ryota;PH-P170;4;2;50;10;5;50;16;1.6;6;29;2.9;6;44;4.4;10;2.07;50.69;74284;7428.4;461.1;15.5;866.5;193269;19326.9;1204.2;11.59;249.18;8717;871.7;4.71;814599;81459.9;4787.74;30.07;1063;56.42;5.64;253611;25361.1;6;0;0;0;0;1;0;1;1;0;977.3
Nnael;ID-P0444;2;0;0;6;2;33.33;14;2.33;4;17;2.83;5;41;6.83;10;3.24;73.93;58363;9727.17;582.17;19.79;1095;250541;41756.83;2485.33;17.96;423.22;3975;662.5;18.57;471789;78631.5;4794.54;19.55;872.68;75.66;12.61;179539;29923.17;2;0;0;0;0;1;0;0;3;2;987
Lutpiii;ID-P0594;13;12;92.31;42;30;71.43;77;1.83;6;122;2.9;8;304;7.24;18;3.12;60.99;329468;7844.48;513.24;16.55;919.45;1071419;25509.98;1619.88;14;308.73;63972;1523.14;7.56;3908445;93058.21;5833.06;32.61;1216.43;461.12;10.98;1189475;28320.83;12;0;0;0;0;9;2;7;0;0;923.98
Rezzz;ID-P0697;10;2;20;5;1;20;8;1.6;4;25;5;7;32;6.4;10;1.6;53.5;47365;9473;457.2;15.74;847;250241;50048.2;2433.8;17.23;376.49;3397;679.4;4.9;865518;173103.6;6606.5;31.75;1459.13;87.99;17.6;238526;47705.2;7;0;0;0;0;1;1;4;1;0;1222
Savero;ID-P0839;16;13;81.25;49;33;67.35;178;3.63;11;59;1.2;3;247;5.04;10;7.2;63.71;595210;12147.14;780.88;25.45;1218.45;2536976;51775.02;3243.53;28.55;408.94;621221;12677.98;58.33;1680286;34291.55;2138.27;12.31;279.71;45.55;0.93;1120964;22876.82;9;2;0;1;9;30;1;86;4;5;934
