No.;Team Name;Match Count;Match Win Count;Match Win Rate%;Game Count;Game Win Count;Game Win Rate%;TIme per Game/s;Total Kills;Kills per Game;Highest kills in a single game;Total Deaths;Deaths per Game;Highest deaths in a single game;Total Assists;Average Assists;Highest assists in a single game;KDA;Team Kill Participation%;Team Gold per Minute;Team Damage;Team Damage per Minute;Team Building Damage;Team Damage Taken;Team Damage Taken per Minute;Heros Used;Lengendary;Savage;Maniac;Triple Kill;Double Kill;First Blood;FB Rate%;Tower Destroy Count;Tower Destroyed Count;Tower Destroy Count per Game;Tower Destroyed Count per Game;Cryoturtle Kill Count;Enemy Cryoturtle Kill Count;Cryoturtle Kill Count per Game;Cryoturtle Control Rate%;Lord Kill Count;Enemy Cryoturtle Kill Count;Lord Kill Count per Game;lord Control Rate%
1;ONIC ID;20;14;70;60;37;61.67;957.73;804;13.4;30;660;11;26;1934;32.23;67;8.36;67.01;3053.69;11308008;11545.91;1149009;18329357;18446.37;56;14;0;3;20;96;35;58;158;306;5.73;5.1;84;90;1.4;48.33;67;59;1.12;56.78
2;NAVI;16;0;0;38;6;15.79;941.89;353;9.29;21;514;13.53;24;901;23.71;62;3.41;70.23;2734.82;6115921;10025.84;388451;12396779;20558.25;52;15;1;1;4;34;17;45;65;274;3.34;7.21;48;62;1.26;43.42;16;62;0.42;17.63
